Size: 10 | Optimized Time: 3.6e-05s | Brute Force Time: 1e-06s
Size: 210 | Optimized Time: 0.008657s | Brute Force Time: 0.005462s
Size: 410 | Optimized Time: 0.023639s | Brute Force Time: 0.039403s
Size: 610 | Optimized Time: 0.040884s | Brute Force Time: 0.154307s
Size: 810 | Optimized Time: 0.078983s | Brute Force Time: 0.299378s
Size: 1010 | Optimized Time: 0.083433s | Brute Force Time: 0.58018s
Size: 1210 | Optimized Time: 0.114488s | Brute Force Time: 1.023s
Size: 1410 | Optimized Time: 0.147432s | Brute Force Time: 1.64173s
Size: 1610 | Optimized Time: 0.180656s | Brute Force Time: 2.40694s
Size: 1810 | Optimized Time: 0.219346s | Brute Force Time: 3.41623s
Size: 2010 | Optimized Time: 0.266986s | Brute Force Time: 4.69082s
Size: 2210 | Optimized Time: 0.314206s | Brute Force Time: 6.25839s
Size: 2410 | Optimized Time: 0.376855s | Brute Force Time: 7.88386s
Size: 2610 | Optimized Time: 0.452336s | Brute Force Time: 10.051s
Size: 2810 | Optimized Time: 0.553523s | Brute Force Time: 12.7003s
Size: 3010 | Optimized Time: 0.567269s | Brute Force Time: 15.4436s
Size: 3210 | Optimized Time: 0.629539s | Brute Force Time: 19.0646s
Size: 3410 | Optimized Time: 0.715303s | Brute Force Time: 22.3068s
Size: 3610 | Optimized Time: 0.794194s | Brute Force Time: 26.304s
Size: 3810 | Optimized Time: 0.920939s | Brute Force Time: 30.7181s
Size: 4010 | Optimized Time: 0.990712s | Brute Force Time: 35.5097s
Size: 4210 | Optimized Time: 1.05916s | Brute Force Time: 41.2969s
Size: 4410 | Optimized Time: 1.18855s | Brute Force Time: 47.6958s
Size: 4610 | Optimized Time: 1.24507s | Brute Force Time: 53.4531s
Size: 4810 | Optimized Time: 1.38292s | Brute Force Time: 60.8198s
